"LatD, ""LatM"", ""LatS"", ""NS"", ""LonD"", ""LonM"", ""LonS"", ""EW"", ""City"", ""State"""
"   33,   38,   23, ""N"",     96,   36,   36, ""W"", ""Sherman"", TX"
"   44,   47,   59, ""N"",    106,   57,   35, ""W"", ""Sheridan"", WY"
"   35,   13,   47, ""N"",     96,   40,   48, ""W"", ""Seminole"", OK"
"   32,   25,   11, ""N"",     87,    1,   11, ""W"", ""Selma"", AL"
"   38,   42,   35, ""N"",     93,   13,   48, ""W"", ""Sedalia"", MO"
"   47,   35,   59, ""N"",    122,   19,   48, ""W"", ""Seattle"", WA"
"   41,   24,   35, ""N"",     75,   40,   11, ""W"", ""Scranton"", PA"
"   41,   52,   11, ""N"",    103,   39,   36, ""W"", ""Scottsbluff"", NB"
"   42,   49,   11, ""N"",     73,   56,   59, ""W"", ""Schenectady"", NY"
"   32,    4,   48, ""N"",     81,    5,   23, ""W"", ""Savannah"", GA"
"   46,   29,   24, ""N"",     84,   20,   59, ""W"", ""Sault Sainte Marie"", MI"
"   27,   20,   24, ""N"",     82,   31,   47, ""W"", ""Sarasota"", FL"
"   38,   26,   23, ""N"",    122,   43,   12, ""W"", ""Santa Rosa"", CA"
"   35,   40,   48, ""N"",    105,   56,   59, ""W"", ""Santa Fe"", NM"
"   34,   25,   11, ""N"",    119,   41,   59, ""W"", ""Santa Barbara"", CA"
"   33,   45,   35, ""N"",    117,   52,   12, ""W"", ""Santa Ana"", CA"
"   37,   20,   24, ""N"",    121,   52,   47, ""W"", ""San Jose"", CA"
"   37,   46,   47, ""N"",    122,   25,   11, ""W"", ""San Francisco"", CA"
"   41,   27,    0, ""N"",     82,   42,   35, ""W"", ""Sandusky"", OH"
"   32,   42,   35, ""N"",    117,    9,    0, ""W"", ""San Diego"", CA"
"   34,    6,   36, ""N"",    117,   18,   35, ""W"", ""San Bernardino"", CA"
"   29,   25,   12, ""N"",     98,   30,    0, ""W"", ""San Antonio"", TX"
"   31,   27,   35, ""N"",    100,   26,   24, ""W"", ""San Angelo"", TX"
"   40,   45,   35, ""N"",    111,   52,   47, ""W"", ""Salt Lake City"", UT"
"   38,   22,   11, ""N"",     75,   35,   59, ""W"", ""Salisbury"", MD"
"   36,   40,   11, ""N"",    121,   39,    0, ""W"", ""Salinas"", CA"
"   38,   50,   24, ""N"",     97,   36,   36, ""W"", ""Salina"", KS"
